region;year;poverty_percent;population;disabled_total;disabled_18_30;disabled_31_40;disabled_41_50;disabled_51_60;disabled_60_plus;newborns;child_deaths_urban;child_deaths_rural;poor_children_share;poor_old_share;poor_working_share;hh_no_crowding;hh_some_crowding;hh_high_crowding;area_total_per_capita;area_living_per_capita;rooms_per_hh;hh_plan_improve;drug_alco_rate;workers_share;cash_income_per_capita;real_incomes_index;formal_wage_paid;real_wage_index;welfare_expense_share;grp_per_capita;industry_total;mining;manufacturing;energy;water_waste;retail_turnover;crime_juveniles;crime_repeat_offenders;crime_prev_convicted;crime_group;crime_group_prep;crime_organized_group;crime_criminal_community;crime_intox_alcohol;crime_intox_narcotic;crime_intox_toxic;poor_abs;production_pc;retail_to_income;birth_rate_per_1000;infant_mortality_per_1000;disabled_per_1000
Алтайский край;2015;18.0;2384812.0;;;;;;;27475.0;128.0;94.0;;;;;;;;;;;;79.7;20860.0;99.1;20090.0;90.0;18.8;204933.1;321526330.38;5519930.2;271650997.4;44355402.78;;134925.0;;;;;;;;;;;429266.16;134.82250608433705;6.468120805369128;11.520824283004279;8.08007279344859;
Алтайский край;2016;17.8;2376774.0;;;;;;;26325.0;124.0;87.0;;;;;;;;;;;;78.4;21256.0;94.7;21202.0;98.4;20.4;224525.8;315781937.9;4852175.4;265882785.23;45046977.27;;137844.0;1310.0;19308.0;7688.0;69.0;1480.0;94.0;0.0;13875.0;241.0;0.0;423065.77200000006;132.86157535381992;6.484945427173504;11.07593738403399;8.015194681861349;
Алтайский край;2017;17.5;2365680.0;178967.0;8273.0;13553.0;14253.0;28820.0;114068.0;21215.0;106.0;79.0;38.0;6.4;55.6;;;;;;;;;79.3;22139.0;100.0;22743.0;103.6;30.9;231268.4;367988195.7;6143029.4;307969929.4;45806615.7;8068621.4;143873.0;1134.0;17755.0;7947.0;47.0;1348.0;145.0;5.0;11976.0;345.0;1.0;413994.0;155.55282020391599;6.4986223406657935;8.967823205167225;8.72024510959227;75.65139832944438
Алтайский край;2018;17.4;2350080.0;175193.0;7654.0;13491.0;14884.0;26850.0;112314.0;23491.0;106.0;70.0;42.1;5.1;52.8;;;;;;;;88.1;82.2;22829.0;99.7;25519.0;109.3;29.8;247599.3;385596372.18;5023392.5;322810259.6;47439687.08;10323033.0;150444.0;1081.0;17117.0;7919.0;51.0;1371.0;25.0;32.0;10864.0;99.0;3.0;408913.92;164.07797699652778;6.590038985500898;9.9958299291939;7.492231067217232;74.54767497276688
Алтайский край;2019;17.6;2332813.0;173868.0;7243.0;13482.0;15477.0;25395.0;112271.0;21117.0;54.0;60.0;38.7;3.9;57.4;;;;;;;;73.5;82.0;23937.0;99.6;27962.0;104.9;28.3;271319.7;419158974.7;7745963.3;357699013.3;43900541.6;9813456.6;159514.0;961.0;16553.0;7820.0;60.0;1156.0;77.0;5.0;9873.0;53.0;1.0;410575.08800000005;179.67962914301316;6.6639094289175755;9.052161489154939;5.398494104276176;74.53147766237585
Алтайский край;2020;17.5;2317153.0;168269.0;7136.0;13409.0;16028.0;23552.0;108144.0;19976.0;53.0;44.0;31.4;9.2;59.4;83.2;13.4;3.3;25.9;18.0;2.4;14.9;58.6;78.6;23864.0;95.5;30072.0;103.8;29.7;291156.9;426221675.12;9146146.1;361880102.22;44741016.3;10454410.5;153605.0;887.0;15400.0;7278.0;64.0;901.0;87.0;2.0;9396.0;46.0;0.0;405501.775;183.94196460915614;6.436682869594368;8.620924039111788;4.855826992390869;72.61885598404594
Амурская область;2015;15.2;809873.0;;;;;;;10781.0;52.0;31.0;;;;;;;;;;;;84.1;28240.0;96.1;32902.0;88.0;19.2;343385.7;138602833.6;72179618.9;33902153.3;32521061.4;;182491.0;;;;;;;;;;;123100.696;171.14144267064094;6.462145892351275;13.311963727646186;7.698729245895557;
Амурская область;2016;17.0;805689.0;;;;;;;10377.0;30.0;23.0;;;;;;;;;;;;86.2;27976.0;92.1;33837.0;96.0;28.9;370192.4;125936824.2;64379100.3;27898736.6;33658987.3;;191523.0;782.0;7341.0;3332.0;46.0;687.0;22.0;0.0;4518.0;80.0;3.0;136967.13;156.30947449946567;6.845975121532742;12.879659521229655;5.107449166425749;
Амурская область;2017;16.7;801752.0;67214.0;3438.0;5301.0;6275.0;11829.0;40371.0;9430.0;28.0;20.0;39.9;6.0;54.1;;;;;;;;;86.3;29213.0;101.1;37368.0;107.4;26.3;373935.1;134422073.8;64359021.7;31095364.8;36087137.1;2880550.2;202038.0;709.0;7225.0;3387.0;52.0;788.0;15.0;0.0;4071.0;123.0;2.0;133892.58399999997;167.6604159390934;6.916030534351145;11.761741785489777;5.090137857900318;83.83390375078578
Амурская область;2018;15.6;798424.0;65679.0;3242.0;5352.0;6230.0;11055.0;39800.0;8889.0;29.0;17.0;40.6;4.6;54.8;;;;;;;;113.3;86.9;30937.0;102.4;42315.0;110.1;24.1;419905.2;134380418.1;60169335.7;34091035.6;37046365.6;3073681.2;214688.0;552.0;6933.0;3495.0;25.0;623.0;16.0;0.0;3925.0;122.0;2.0;124554.144;168.30708758754747;6.93952225490513;11.133182369267457;5.174935313308583;82.26080378345341
