region,birth_rate_per_1000,infant_mortality_per_1000,cash_income_per_capita,poverty_percent,poor_children_share,poor_old_share,disabled_per_1000,drug_alco_rate,area_living_per_capita,hh_high_crowding,hh_plan_improve,grp_per_capita,industry_total,retail_to_income,crime_prev_convicted,crime_intox_alcohol,welfare_expense_share,workers_share
Алтайский край,8.620924039111788,4.855826992390869,23864.0,17.5,31.4,9.2,72.61885598404594,58.6,18.0,3.3,14.9,291156.9,426221675.12,6.436682869594368,7278.0,9396.0,29.7,78.6
Амурская область,9.939952711494549,5.348274544759964,35499.0,15.2,38.4,4.7,79.26267397765189,67.1,17.3,5.9,14.7,571362.1,202288233.5,6.908166427223302,3078.0,3123.0,21.7,84.8
Архангельская область,8.358739502083086,3.473684210526316,36779.0,12.8,30.2,6.7,73.43460606140593,60.9,,,,697648.2,595009153.87,6.772913891079148,3522.0,4011.0,21.4,82.3
Архангельская область без АО,8.152512211375804,3.256231753873793,34852.0,12.3,28.5,7.2,,,16.9,2.2,13.4,514200.4,332053498.02,7.174136347985768,,,,80.2
Астраханская область,9.844081520647617,6.463993536006464,25199.0,15.6,42.1,5.5,42.72297575418928,,19.2,3.1,16.4,526950.9,362298877.9,6.925949442438192,2622.0,2534.0,31.4,80.3
Белгородская область,7.336921965644408,4.135139890902693,32841.0,7.2,,,124.296469485544,39.5,17.8,2.0,12.0,646569.0,974146909.31,7.218903200267958,2787.0,2251.0,16.1,87.3
Брянская область,7.949745532670686,4.324894514767933,28596.0,13.6,44.8,3.7,87.30967361598536,54.2,24.1,0.6,5.7,347204.5,283462240.1,7.890718981675759,2994.0,3094.0,23.1,75.7
Владимирская область,7.449853358617684,6.027667984189724,25922.0,12.5,,,87.75735857057043,60.5,16.1,2.5,9.0,410443.6,581325997.97,6.85440938199213,3381.0,3078.0,26.0,84.2
Волгоградская область,7.893502944156567,4.933123124650359,24864.0,11.9,46.2,4.0,67.37959628042309,,17.9,3.3,12.1,394256.5,904268455.11,6.734475546975547,5716.0,6228.0,25.1,76.8
Вологодская область,9.218877241058388,5.515049541970462,29522.0,12.8,43.1,2.3,78.53366596434988,38.0,16.9,2.9,13.6,544379.2,777435178.75,6.196057177697988,3523.0,3584.0,25.9,82.5
