region,cluster,birth_rate_per_1000,infant_mortality_per_1000,cash_income_per_capita,poverty_percent,poor_children_share,poor_old_share,disabled_per_1000,drug_alco_rate,area_living_per_capita,hh_high_crowding,hh_plan_improve,grp_per_capita,industry_total,retail_to_income,crime_prev_convicted,crime_intox_alcohol,welfare_expense_share,workers_share
Алтайский край,2,2.263940314026453,1.767437232573488,10.080168229439996,2.917770732084279,31.4,9.2,72.61885598404594,4.087655574071304,2.9444389791664403,1.4586150226995167,2.766319109226186,12.58162101067699,19.870470135368834,6.436682869594368,8.892748769118258,9.148145768383065,29.7,78.6
Амурская область,2,2.392421474452002,1.8481830507459585,10.477287975463508,2.785011242238338,38.4,4.7,79.26267397765189,4.220977213155467,2.9069010598473755,1.9315214116032138,2.7536607123542622,13.255780188464634,19.12520414177146,6.908166427223302,8.0323601479245,8.046869510959576,21.7,84.8
Архангельская область,2,2.2363106128400063,1.498212277323876,10.512709498158312,2.624668592163159,30.2,6.7,73.43460606140593,4.12552017969055,2.884800712846709,1.547562508716013,2.7212954278522306,13.455471676612893,20.20408734972767,6.772913891079148,8.167068178341237,8.297045149081827,21.4,82.3
Астраханская область,2,2.3836194491890934,2.010090597521954,10.134599273499514,2.8094026953624978,42.1,5.5,42.72297575418928,4.0163830207523885,3.005682604407159,1.410986973710262,2.856470206220483,13.174864552010767,19.70798006146361,6.925949442438192,7.872073979866873,7.837948916025283,31.4,80.3
Белгородская область,2,2.120694079380402,1.6361070856389888,10.399463463051783,2.1041341542702074,39.4,4.6,124.296469485544,3.7013019741124933,2.9338568698359038,1.0986122886681098,2.5649493574615367,13.379436746661392,20.697072682173268,7.218903200267958,7.933079771880415,7.719573989259581,16.1,87.3
Брянская область,2,2.1916250997787303,1.6723929019660273,10.261057096201172,2.681021528714291,44.8,3.7,87.30967361598536,4.01096295328305,3.2228678461377385,0.4700036292457356,1.9021075263969205,12.75767210265669,19.462589483901937,7.890718981675759,8.00469951054955,8.037543185118697,23.1,75.7
Владимирская область,2,2.1341490872087583,1.9498549273463297,10.162885884509508,2.6026896854443837,39.4,4.6,87.75735857057043,4.119037174812473,2.8390784635086144,1.252762968495368,2.302585092994046,12.924996241397993,20.180822257234812,6.85440938199213,8.126222529458525,8.0323601479245,26.0,84.2
Волгоградская область,2,2.1853210038792237,1.7805507395726132,10.12121647114884,2.5572273113676265,46.2,4.0,67.37959628042309,4.0163830207523885,2.9391619220655967,1.4586150226995167,2.5726122302071057,12.884759528106612,20.622636838994605,6.734475546975547,8.651199471263972,8.736971085254146,25.1,76.8
Вологодская область,2,2.324236719744373,1.8741148148411364,10.292924899567096,2.624668592163159,43.1,2.3,78.53366596434988,3.6635616461296463,2.884800712846709,1.3609765531356006,2.681021528714291,13.207403178782087,20.47151082844572,6.196057177697988,8.16735198705607,8.184513753033722,25.9,82.5
Воронежская область,2,2.2239865136398667,1.5375667609990447,10.375956889424767,2.2512917986064953,28.5,2.3,91.44546199668274,4.247065649239764,3.039749158970765,0.9555114450274363,2.7212954278522306,13.038178184808833,20.39235157111052,7.868819751854854,8.366370301681654,8.295798110636145,21.6,84.6
Еврейская автономная область,0,2.410421616017093,2.060969804057904,10.241708259691459,3.202746442938317,34.8,10.8,77.36331764631565,4.389498649512583,2.6946271807700692,1.7227665977411035,3.086486636822455,12.900073211852884,17.146621910145655,5.992084997147747,6.359573868672378,6.234410725718371,31.2,72.7
Забайкальский край,2,2.547935645357332,1.81263374422218,10.205331372394003,3.086486636822455,33.4,7.2,71.73822780032084,4.356708826689592,2.89591193827178,1.8082887711792655,3.3638415951183864,12.905687863166358,19.294212935745065,6.091141019004659,8.476371196895983,8.74798740166097,26.5,76.0
Ивановская область,2,2.149985073025564,1.5480378346677741,10.176487366201767,2.6878474937846906,39.4,4.6,75.63970776274024,4.32280727501391,2.9496883350525844,1.589235205116581,2.667228206581955,12.520235365231526,19.20816541595411,6.862046656772082,7.71244383427499,7.742835955430749,25.1,79.3
Иркутская область,2,2.362373646702725,2.111759180382944,10.224556044005542,2.9231615807191558,41.5,7.0,85.55227453409239,4.157319361383489,2.8507065015037334,1.62924053973028,2.9014215940827497,13.356000320008484,20.92041076108435,5.980160313372747,8.964311948124514,9.10219821335648,28.6,79.5
Кабардино-Балкарская Республика,0,2.581100212246437,1.8524358644692025,9.996886816794678,3.2268439945173775,35.9,6.7,64.99568146484712,4.0163830207523885,2.990719731730447,1.3862943611198906,2.6390573296152584,12.25807241530521,17.72963597038521,7.035387347998361,7.265429723253953,6.421622267806518,34.4,69.9
Калининградская область,2,2.319565046999776,1.5621607104182405,10.292789402801873,2.6741486494265287,29.1,6.1,65.93699630226604,4.065602093356446,2.8094026953624978,1.9315214116032138,2.5952547069568657,13.18070379240559,20.2952972486542,6.20929602276577,7.818027938530729,7.600902459542082,12.6,80.7
Калужская область,2,2.2991705475236395,1.4146189635540627,10.387239982375185,2.3702437414678603,39.4,4.6,75.301099668354,3.676300671907076,2.803360380906535,1.4586150226995167,1.667706820558076,13.232428887197758,20.644319426760788,6.61710128845324,7.832014180505469,7.687997166393016,16.9,88.5
Камчатский край,1,2.4292977918030645,1.671658935431309,10.921865448493632,2.747270914255491,42.6,5.9,42.03618984333069,3.903990833730882,2.8273136219290276,1.8082887711792655,3.1354942159291497,13.756612632050082,19.001858171997743,3.654344174958915,6.92461239604856,7.00669522683704,13.3,94.9
Карачаево-Черкесская Республика,0,2.484403868364851,1.7723592619270305,9.849559210510572,3.186352633162641,27.6,6.9,110.8504751593889,4.0163830207523885,2.9601050959108397,1.916922612182061,3.261935314328648,12.242754079749515,17.51852389402169,4.407356588738192,6.940222469119639,6.556778356158042,26.5,59.8
Кемеровская область,2,2.166109576832733,1.98560981056491,10.143842140580691,2.653241964607215,39.7,4.5,79.73839044582584,3.5085558999826545,2.8507065015037334,1.410986973710262,2.509599262378372,12.87997558786574,21.139213632141413,6.017103762827822,9.316050826398296,9.279679850054796,23.0,78.5
Кировская область,2,2.2419580650473496,1.5616821504626015,10.093818614103787,2.70805020110221,40.8,3.4,93.07336331849918,4.160444363926624,2.766319109226186,1.4350845252893227,2.8449093838194073,12.660819542972058,19.539490812421853,6.747023809523809,8.403352374992478,8.443546651247939,27.6,85.5
Костромская область,2,2.171264532767291,2.254953574547293,10.15739306550038,2.6026896854443837,39.9,6.6,89.35797342848346,3.955082494888593,2.740840023925201,1.547562508716013,2.174751721484161,12.688352487775823,18.97784557417189,6.966136539953452,7.448333860897476,7.542213463193403,22.5,82.0
Краснодарский край,2,2.370770853433318,1.643924580819506,10.514312345592575,2.4336133554004498,39.3,6.9,74.89540058589063,4.0163830207523885,2.9496883350525844,1.547562508716013,2.7788192719904172,13.040548366796019,20.807011124829856,7.108339214941093,9.236884927198295,8.74687531957003,25.7,82.5
Красноярский край,2,2.4080704850675114,1.837145811306166,10.399189386156271,2.8903717578961645,35.8,4.8,62.83146475104273,3.914021008090819,2.8678989020441064,1.5686159179138452,2.928523523860541,13.765915504958713,21.667627411846258,5.996832358674464,9.048644632975885,9.065314599925925,24.8,83.2
Курганская область,2,2.30071019371343,1.9729624095477527,9.992459506338392,3.0106208860477417,39.4,2.4,85.67204164581233,4.065602093356446,2.8735646395797834,1.589235205116581,3.299533727885655,12.592915429510244,18.823759533465783,6.739798719121684,8.065265208897733,8.244859395911256,26.1,74.7
Курская область,2,2.224910817225835,1.7245172634997934,10.301827335701704,2.388762789235098,34.2,6.5,106.41770711806436,4.072439726834051,2.89591193827178,0.9932517730102833,2.8678989020441064,13.096084492348773,19.752612559295212,6.954072382998724,8.021584533455107,7.8528278122817445,23.2,82.4
Ленинградская область,2,2.088456308209292,1.5932067997327768,10.408797995614009,2.272125885509337,39.4,4.6,68.40285477900412,3.0349529867072724,2.8903717578961645,1.7047480922384253,2.580216829592325,13.402007632981622,20.983578379455757,7.712027512142146,7.846980982138788,7.952615111651,16.7,70.6
